time,VIC_price_close,VIC_volume,KDH_price_close,KDN_Volume,DXG_price close,DXG_Volume,,,,,,,,,,,Mã Cổ Phiếu,time,Price open,Price high,Price low,Price close,Volume
2015-10-01,"12,290.912102 ₫",106244426,"5,567.70959453 ₫",11116980.47,"5,228.00457295 ₫",133194169.9,,,,,,,,,,,DXG,2020-02-03,"7,426.69344687 ₫","8,912.03213575 ₫","7,122.87416960 ₫","8,000.57430394 ₫",77713462.98
2015-11-02,"11,561.561274 ₫",101977976,"5,760.65002568 ₫",23111022,"4,776.85697020 ₫",99741706.06,,,,,,,,,,,DXG,2020-03-02,"8,101.84739636 ₫","9,249.60911050 ₫","5,232.44311020 ₫","5,232.44311020 ₫",85469188.72
2015-12-01,"12,344.938090 ₫",133334112,"5,953.59045766 ₫",22093021.37,"5,015.69981871 ₫",69603101.86,,,,,,,,,,,DXG,2020-04-01,"4,867.85997731 ₫","7,190.38956455 ₫","4,867.85997731 ₫","6,677.27256228 ₫",91142350.51
2016-01-01,"12,858.184969 ₫",172843530,"5,788.21294442 ₫",11929648.97,"4,803.39506448 ₫",67312824.37,,,,,,,,,,,DXG,2020-05-04,"6,515.23561424 ₫","7,865.54351404 ₫","6,184.41017882 ₫","7,629.23963172 ₫",123492644.4
2016-02-01,"11,912.730192 ₫",65122288,"5,815.77586315 ₫",7107799.938,"4,484.93793314 ₫",50779082.53,,,,,,,,,,,DXG,2020-06-01,"7,730.51272414 ₫","8,810.75904333 ₫","7,224.14726202 ₫","7,561.72423677 ₫",164598360.3
2016-03-01,"12,750.132994 ₫",138012428,"6,311.90840122 ₫",50769392.49,"4,325.70936746 ₫",121120196.7,,,,,,,,,,,DXG,2020-07-01,"7,494.20884182 ₫","7,966.81660647 ₫","5,738.80857232 ₫","5,927.85167851 ₫",140810535.4
2016-04-01,"14,181.821657 ₫",299277292,"6,311.90840122 ₫",12579899.21,"4,033.79033039 ₫",38809309.7,,,,,,,,,,,DXG,2020-08-03,"5,907.59705969 ₫","7,122.87416960 ₫","5,907.59705969 ₫","6,535.49023305 ₫",171749173.2
2016-05-02,"14,181.821657 ₫",155477340,"6,394.59715826 ₫",7265583.907,"4,060.32842467 ₫",43271610.52,,,,,,,,,,,DXG,2020-09-01,"6,616.50870666 ₫","7,359.17805192 ₫","6,515.23561424 ₫","6,819.05489151 ₫",117783169.1
2016-06-01,"14,812.303299 ₫",66387038,"6,284.34548249 ₫",7237330.413,"4,060.32842467 ₫",70378611.96,,,,,,,,,,,DXG,2020-10-01,"6,852.81258898 ₫","8,371.90897616 ₫","6,785.29719403 ₫","7,764.27042162 ₫",208034535.6
2016-07-01,"15,292.054013 ₫",71725856,"6,394.59715826 ₫",8750081.79,"4,113.40461323 ₫",65948343.58,,,,,,,,,,,DXG,2020-11-02,"7,831.78581657 ₫","9,755.97457262 ₫","7,831.78581657 ₫","9,384.63990040 ₫",207413302.7
2016-08-01,"14,422.505843 ₫",135271806,"7,193.92180242 ₫",40121510.78,"3,954.17604756 ₫",18802537.76,,,,,,,,,,,DXG,2020-12-01,"9,249.60911050 ₫","11,106.28247242 ₫","9,249.60911050 ₫","10,768.70549768 ₫",263003278.9
2016-09-01,"16,345.267377 ₫",72870456,"7,607.36558428 ₫",15928401.72,"3,848.02367044 ₫",29165624.01,,,,,,,,,,,DXG,2021-01-04,"11,072.52477495 ₫","15,427.26774999 ₫","10,802.46319515 ₫","13,233.01741414 ₫",342313308.1
2016-10-03,"15,610.648618 ₫",299306596,"7,596.34801348 ₫",15848723.24,"4,591.00373607 ₫",48546547.52,,,,,,,,,,,DXG,2021-02-01,"13,030.47122930 ₫","17,148.91032202 ₫","12,017.74030424 ₫","15,866.11781798 ₫",196649814.4
2016-11-01,"15,426.993929 ₫",53702964,"7,291.77745588 ₫",8245813.181,"5,402.34491179 ₫",53326442.7,,,,,,,,,,,DXG,2021-03-01,"16,034.90630535 ₫","17,351.45650686 ₫","14,515.80991818 ₫","16,203.69479273 ₫",267497188
2016-12-01,"15,426.993929 ₫",53177222,"7,166.36605063 ₫",22214091.53,"4,947.20229890 ₫",72515421.49,,,,,,,,,,,DXG,2021-04-01,"16,203.69479273 ₫","17,790.30657403 ₫","14,920.90228787 ₫","15,832.36012051 ₫",235397988.4
2017-01-02,"15,426.993929 ₫",22740908,"7,058.87055971 ₫",10507255.54,"5,323.18967477 ₫",55569846.01,,,,,,,,,,,DXG,2021-05-04,"15,190.96386767 ₫","19,241.88756626 ₫","15,190.96386767 ₫","18,904.31059152 ₫",281676178.9
2017-02-01,"16,528.922066 ₫",37397562,"7,847.17082481 ₫",17736919.39,"6,530.30703561 ₫",142971707.4,,,,,,,,,,,DXG,2021-06-01,"18,904.31059152 ₫","19,883.28381828 ₫","15,258.47926262 ₫","16,203.69479273 ₫",414572930.5
2017-03-01,"15,353.532053 ₫",60783318,"9,083.36896874 ₫",17556424.94,"8,152.98939083 ₫",292118133.1,,,,,,,,,,,DXG,2021-07-01,"16,304.96788515 ₫","16,338.72558263 ₫","12,827.92504445 ₫","14,549.56761565 ₫",221668086.5
2017-04-03,"15,022.953611 ₫",44905916,"8,957.95756267 ₫",9675942.145,"8,568.55438520 ₫",213957903,,,,,,,,,,,DXG,2021-08-02,"14,583.32531313 ₫","16,473.75637252 ₫","13,840.65596869 ₫","14,988.41768282 ₫",226888861.6
2017-05-01,"14,784.202515 ₫",96560308,"9,961.24880960 ₫",20849923.28,"7,669.94241242 ₫",261387795.7,,,,,,,,,,,DXG,2021-09-01,"14,752.11380050 ₫","15,839.11561948 ₫","14,247.43978517 ₫","14,829.76021235 ₫",117362609.1
2017-06-01,"15,684.110494 ₫",155535186,"9,979.16472476 ₫",10590631.78,"7,737.02645693 ₫",216636512.7,,,,,,,,,,,DXG,2021-10-01,"14,713.29612692 ₫","19,177.75273535 ₫","14,208.61842336 ₫","18,750.71775541 ₫",198160282.5
2017-07-03,"16,345.267377 ₫",55147166,"10,032.91247022 ₫",10465372.61,"8,542.03498729 ₫",217386970.1,,,,,,,,,,,DXG,2021-11-01,"18,944.82456447 ₫","25,389.17062534 ₫","17,780.18371010 ₫","25,389.17062534 ₫",409169007.5
2017-08-01,"17,998.159583 ₫",49130992,"10,032.91247022 ₫",4846758.091,"9,123.43003846 ₫",234677818.5,,,,,,,,,,,DXG,2021-12-01,"26,942.02509784 ₫","28,883.09318846 ₫","22,477.56848941 ₫","27,174.95326871 ₫",346410205.6
2017-09-01,"18,806.240218 ₫",66658496,"9,902.30763418 ₫",12346939.17,"9,391.76621651 ₫",157792300.3,,,,,,,,,,,DXG,2022-01-04,"27,213.77463052 ₫","31,833.51668621 ₫","22,128.17623309 ₫","26,282.06194703 ₫",275001676.8
2017-10-02,"21,487.598686 ₫",79014994,"10,706.87012980 ₫",26956521.02,"8,382.15092977 ₫",195404446.8,,,,,,,,,,,DXG,2022-02-07,"26,631.45420334 ₫","35,210.97516389 ₫","26,476.16875609 ₫","32,842.87209333 ₫",214152964.4
